id	truth_id	hashtag_id
1169	14669	280
1170	14673	280
1171	14679	280
1172	14691	560
1173	14708	280
1174	14713	280
1175	14719	280
1176	14723	280
1177	14725	280
1178	14727	280
1179	14729	280
1180	14732	280
1181	14955	43
1182	14979	561
1183	14979	40
1184	14989	562
1185	15013	563
1186	15034	89
1187	15034	564
1188	15076	565
1189	15083	566
1190	15084	567
1191	15098	568
1192	15103	38
1193	15132	569
1194	15135	42
1195	15140	570
1196	15233	38
1197	15268	571
1198	15311	572
1199	15311	573
1200	15444	574
1201	15444	575
1202	15465	486
1203	15468	89
1204	15496	576
1205	15514	110
1206	15515	110
1207	15516	89
1208	15519	110
1209	15563	39
1210	15564	39
1211	15598	577
1212	15611	110
1213	15624	39
1214	15651	110
1215	15653	578
1216	15666	110
1217	15667	110
1218	15677	42
1219	15691	110
1220	15732	89
1221	15735	494
1222	15741	494
1223	15751	579
1224	15762	580
1225	15800	110
1226	15802	495
1227	15818	496
1228	15819	496
1229	15821	493
1230	15829	38
1231	15840	40
1232	15841	43
1233	15842	43
1234	15843	40
1235	15844	43
1334	16070	157
1335	16072	591
1336	16074	590
1337	16075	590
1338	16082	604
1339	16085	595
1340	16086	595
1341	16092	605
1342	16092	606
1343	16093	598
1344	16093	599
1345	16095	598
1346	16095	599
1347	16096	598
1348	16096	599
1349	16098	169
1350	16098	602
1351	16103	591
1352	16104	591
1353	16105	157
1354	16105	587
1355	16105	588
1356	16108	607
1357	16122	589
1358	16123	599
1359	16140	608
1360	16140	609
1361	16140	610
1362	16140	611
1363	16143	612
1364	16143	613
1365	16143	614
1366	16143	615
1367	16143	616
1368	16143	144
1369	16143	617
1372	16235	24
1375	16343	570
1376	16354	211
1377	16372	232
1378	16394	42
1379	16395	13
1380	16404	621
1381	16478	85
1385	16493	623
1572	17060	570
1573	17062	570
1576	17071	570
1581	17085	570
1583	17094	570
1589	17124	570
1592	17136	570
1593	17140	570
1596	17156	570
1609	17215	506
1610	17234	570
1612	17241	570
1618	17277	570
1619	17280	665
1623	17291	570
1626	17294	570
1628	17302	663
1629	17304	570
1635	17323	657
1645	17372	202
1650	17386	674
1652	17386	675
1655	17392	400
1656	17392	675
1657	17394	400
1661	17396	676
1670	17414	679
1673	17434	681
2766	33984	753
2767	33984	1165
2768	33984	1166
2769	33984	1167
2770	33984	1168
2771	33984	1169
2772	33984	1170
2773	33984	1171
2774	33984	111
2775	33984	1172
2776	33984	1173
2777	33984	1174
2778	33984	1175
2779	33984	1176
2780	33984	531
2781	33984	1177
2782	33984	1178
2783	33985	42
2784	33987	409
2785	33987	1179
2786	33987	1180
2787	33987	1181
2788	33987	1182
2789	33987	1183
2790	33987	1184
2791	33987	1185
2792	33987	1186
2793	33987	1187
2794	33988	1123
2795	33988	1122
2796	33988	1188
2797	33988	1189
2798	33988	1190
2799	33988	1191
2800	33988	1192
2801	33988	1124
2802	33989	1123
2803	33989	1124
2804	33989	1193
2805	33989	1122
2806	33989	1194
2807	33989	1195
2808	33990	1196
2809	33990	1197
2810	33990	409
2811	33990	1198
2812	33990	1199
2813	33990	1200
2814	33990	1201
2815	33990	1177
2816	33990	1202
2817	33990	1105
2818	33992	382
2819	33992	1105
2820	33992	1203
2821	33992	1196
2822	33992	1204
2823	33992	1205
2824	33995	1206
2825	33995	1207
2826	33995	1208
2827	33995	1209
2828	33995	1210
2829	33995	1211
2830	33995	1099
